,gene1,gene2,cost,psi
737,BNIP3,MYO6,26.496175569485448,5.543987035746694
1022,CALB1,GRHL2,26.506736448015367,5.543987035746694
2509,FAM20B,RAP2A,26.55819007658471,0.7391982714328925
2283,EIF3F,PDIA3,26.663009713009632,0.36959913571644626
910,C10orf28,RNF10,26.689368825910982,5.543987035746694
4152,PARP8,RBM6,26.696080993803587,0.36959913571644626
189,AMOTL2,NCAPD2,26.700684909372963,5.543987035746694
538,ATP1B3,PFN1,26.730149709973873,0.36959913571644626
2470,ETV1,TRIML2,26.772841312325447,5.91358617146314
2852,GTF2A2,SMC2,26.82092727583345,0.36959913571644626
1683,COL4A6,PGAP1,26.842751980364362,5.543987035746694
3053,HNRNPA2B1,SRP9,26.856257170562106,0.36959913571644626
4534,RBM6,RFX5,26.89463893746612,5.543987035746694
526,ATP11A,TNKS,26.964809480944485,5.543987035746694
1744,COX6C,RPL23A,27.00489753208822,0.36959913571644626
1726,COX6A1,RPL41,27.03918292883428,0.36959913571644626
4501,RAD51AP1,SEC24C,27.06284270848137,0.7391982714328925
5007,TNRC6B,VMA21,27.063772556922927,0.36959913571644626
1715,COX20,MTRNR2L6,27.093818330177967,0.36959913571644626
4611,RPL41,RPL7,27.119145168728018,0.36959913571644626
3318,KIAA1109,PAPOLG,27.186471875565186,5.543987035746694
5004,TNKS,ZNF557,27.284741943906823,0.7391982714328925
2898,H3F3A,RPS23,27.295280631485888,0.36959913571644626
980,C2orf69,MUT,27.40383432941251,0.7391982714328925
3322,KIAA1109,ZMYM5,27.43376210560888,0.7391982714328925
1515,CEP41,ERBB2,27.474033477780225,0.7391982714328925
540,ATP1B3,PPP1R15B,27.483572184255955,0.36959913571644626
1518,CEP41,RFX5,27.515339290804548,5.543987035746694
3896,MTRF1L,SCAF4,27.58405145030633,0.7391982714328925
3924,MTRNR2L6,ZNF518A,27.64528324746536,0.36959913571644626
4859,SMC2,TNRC6B,27.913999535176767,0.36959913571644626
3096,HNRNPH1,TLK1,27.95497219965308,0.36959913571644626
3861,MSTO1,RNF10,27.997085338869574,5.543987035746694
4511,RAP2A,TNRC6B,28.01047352536413,0.36959913571644626
1289,CCNK,PEX2,28.01627125508718,5.543987035746694
1974,DENND5A,KLHL24,28.057609718547248,5.543987035746694
