,gene1,gene2,cost,psi
4683,SACS,SBF2,38.48200171026608,5.543987035746694
4996,TMEM212,ZNF518A,38.48263678420352,0.36959913571644626
1524,CEP68,GDAP2,38.49814565248933,5.543987035746694
3837,MRPS7,RPS23,38.50731892161221,0.36959913571644626
4278,PLK1,SGOL2,38.510754583352046,0.7391982714328925
957,C18orf54,SLC16A1,38.52035901676694,0.36959913571644626
4823,SLC38A2,SLTM,38.52086664701843,0.36959913571644626
5014,TOPBP1,VCPIP1,38.52132368815333,5.543987035746694
2476,EXOC5,ZNF140,38.52319087864961,5.543987035746694
2132,DROSHA,ZNF187,38.52777324270976,5.543987035746694
2217,EEF1A1,SKP1,38.535085978636744,0.36959913571644626
3125,HSP90AB1,TUBB,38.54230416154744,0.36959913571644626
2265,EIF2B5,NGLY1,38.54539680874147,5.543987035746694
3043,HNRNPA2B1,PPP1CB,38.55497299212273,0.36959913571644626
226,ANO5,ZNF519,38.56276464262577,0.7391982714328925
2601,FMR1,KLF3,38.56563059864208,5.174387900030248
1078,CAND1,RBM25,38.56701254426475,0.36959913571644626
2693,G2E3,UBE2C,38.56774546853716,0.36959913571644626
3694,MED1,XPR1,38.57208031811349,5.543987035746694
1320,CD24,OSTC,38.57304707483639,0.36959913571644626
1642,CLSPN,GTF2I,38.57342743039965,0.36959913571644626
3342,KIF18A,PIF1,38.578865015699115,5.543987035746694
3193,IFT74,VASH2,38.58301742075836,5.543987035746694
3574,LSM7,RPL13,38.58429654082904,0.36959913571644626
2886,H3F3A,OSTC,38.58923593129777,0.36959913571644626
3126,HSP90AB1,XRCC6,38.59180115999107,0.36959913571644626
1552,CGGBP1,TXLNG,38.59348175533775,0.7391982714328925
720,BCLAF1,SRP9,38.594779988274816,5.91358617146314
673,BCAT1,HNRNPA0,38.60420459326903,5.91358617146314
4315,POGK,TRIB1,38.604708564175574,5.543987035746694
2077,DNAJC13,PNPLA8,38.61383460461074,5.543987035746694
44,ACACA,XPR1,38.62399729515173,5.543987035746694
1016,CACHD1,TFCP2,38.63019966043917,5.543987035746694
1812,CTSC,PTPLAD1,38.63929369382114,0.36959913571644626
1454,CENPE,KPNA2,38.652175665308874,0.36959913571644626
1703,COPS4,CWC22,38.65265474251534,0.36959913571644626
323,APLP2,DHFR,38.664541856874436,0.36959913571644626
2800,GNL3,PSMB2,38.66737808157058,5.91358617146314
2663,FXR1,SLC39A10,38.678159315879356,0.36959913571644626
3452,LAPTM4A,MARCKS,38.68021344138675,0.36959913571644626
551,ATRX,BOD1L,38.68803881902708,0.36959913571644626
1464,CENPE,TOP2A,38.69550307412648,0.36959913571644626
210,ANKRD26,FLT1,38.70037093728514,0.7391982714328925
218,ANKRD50,MCCC2,38.70922685138289,5.543987035746694
2856,GTF2A2,TADA1,38.712452045636454,0.36959913571644626
2382,ENAH,TLK1,38.71388061821943,0.36959913571644626
1163,CBX5,DPYSL2,38.71522206429997,0.36959913571644626
1597,CKAP2,HYLS1,38.719712533163396,0.7391982714328925
2247,EIF1AX,GTF2A2,38.72320944930607,0.36959913571644626
4438,PTDSS1,SMCR7L,38.73267786286657,0.7391982714328925
4463,PTPRS,RPL13,38.742868438113646,0.36959913571644626
3838,MRPS7,RPS25,38.7481032260538,5.91358617146314
3868,MTF2,UBA6,38.75345486667519,0.36959913571644626
971,C20orf111,RTN4IP1,38.76881674086795,5.543987035746694
4311,PODXL,SLC29A1,38.77637051415018,0.36959913571644626
609,AZIN1,CHD7,38.77982190335553,0.36959913571644626
4903,SRP9,TMEM33,38.780789278528644,0.36959913571644626
680,BCAT1,NKTR,38.78108043006504,0.36959913571644626
931,C12orf45,RPS23,38.78357700235449,0.36959913571644626
4444,PTMA,RPS25,38.784875744392735,0.36959913571644626
2412,EPB41L4B,TYRO3,38.785041710776504,5.543987035746694
558,ATRX,SEMA6A,38.78654266405812,0.36959913571644626
4045,NUMB,RNF26,38.7946026584123,5.543987035746694
592,AURKA,KIF18A,38.80391193231948,5.543987035746694
4213,PFN1,SRP68,38.81520977372641,0.7391982714328925
576,AURKA,CAD,38.81838951144056,5.543987035746694
4115,P4HB,PDIA4,38.8255327509162,0.36959913571644626
4550,REEP5,SCD,38.853507832774895,0.36959913571644626
4336,PPP1CB,SKIL,38.857993397093715,0.36959913571644626
2860,GTF2I,LARP7,38.862852319961924,0.36959913571644626
4586,ROBO1,WASL,38.87042042823855,5.543987035746694
774,BPTF,TIGD1,38.872030895199664,0.36959913571644626
4602,RPL23A,SKP1,38.87785831388422,0.36959913571644626
1380,CDH1,MTRNR2L6,38.881762952419436,0.36959913571644626
2215,EEF1A1,RPS25,38.892500670121336,5.91358617146314
73,ACSL4,LCOR,38.89456526181557,5.543987035746694
1315,CD24,EIF1AX,38.91159520935814,0.36959913571644626
782,BRD8,PIGK,38.921246684834095,5.543987035746694
3581,LSM7,SRSF3,38.92473785820465,5.91358617146314
513,ATF2,SDHA,38.92647821623478,0.7391982714328925
4036,NT5DC3,PLIN2,38.926624010579346,5.543987035746694
177,ALG6,RABGEF1,38.93627256169792,5.543987035746694
317,API5,EIF1AX,38.93822521518206,0.36959913571644626
3525,LIN9,TOE1,38.93849666812956,5.543987035746694
4657,RPS23,UBE2V2,38.939840767130455,0.36959913571644626
2518,FAM83D,PLK1,38.94603062836553,5.543987035746694
4055,NUPL1,PLDN,38.95323224905663,5.543987035746694
3686,MCMBP,SHOC2,38.957691940728786,5.543987035746694
4704,SCD,SLC29A1,38.959988485620954,0.36959913571644626
1871,CYFIP2,KIAA1429,38.99052632246135,5.543987035746694
4752,SET,TUBB,38.99116504323858,5.91358617146314
4717,SEC24A,ZIC3,38.993192453895034,5.543987035746694
1322,CD24,PTMA,38.99756971389883,0.36959913571644626
4299,PNN,SLC16A1,38.99989083675646,5.91358617146314
3547,LRAT,TADA1,39.00465856106129,5.543987035746694
1559,CHCHD1,RPL23A,39.006923949087124,0.36959913571644626
1776,CRNKL1,VPS8,39.00757018991825,5.543987035746694
2864,GTF2I,TM9SF3,39.01425341110386,0.36959913571644626
1712,COX10,MAP4K5,39.01624850500042,5.543987035746694
352,ARF6,SRP9,39.028604437389404,0.36959913571644626
3932,MYD88,TOE1,39.03089568785313,5.543987035746694
4392,PSAP,TKT,39.03630075824329,5.91358617146314
3623,MAP9,PGM3,39.04182684033545,0.7391982714328925
4833,SLC39A10,VMP1,39.04942094833903,0.36959913571644626
2495,FAM135A,ZNF398,39.0501467921865,0.7391982714328925
635,B4GALT1,FH,39.05068752850044,5.543987035746694
4712,SCRN1,TAF15,39.05898343695048,5.543987035746694
566,ATRX,ZNF518A,39.06576931816027,0.36959913571644626
672,BCAT1,HMGCS1,39.066262545971256,5.91358617146314
202,ANKIB1,SUPV3L1,39.072367177222624,5.543987035746694
3481,LARP7,UGP2,39.073962312631586,0.36959913571644626
493,ASTN2,PNN,39.07500816087031,0.36959913571644626
1150,CBR1,FTH1,39.07685528392341,5.543987035746694
4257,PIGK,PTAR1,39.080645165467544,0.7391982714328925
1722,COX6A1,LARP7,39.08635179190236,0.36959913571644626
3410,KRI1,SLTM,39.090123824694025,0.36959913571644626
4460,PTPRA,SDF2,39.090676716388906,5.543987035746694
4120,P4HB,SLC29A1,39.09235549115024,5.91358617146314
713,BCLAF1,LSM5,39.0937651170651,5.91358617146314
3693,MED1,NUP85,39.10067204124623,0.7391982714328925
3535,LMO3,LRRC8B,39.11264160876425,5.543987035746694
3974,NDUFA13,PHB2,39.11599216633876,0.36959913571644626
1051,CALM2,NUSAP1,39.117972570670204,0.36959913571644626
1670,CNPY3,RBM6,39.12339829740537,0.36959913571644626
2057,DLGAP5,MKI67,39.1237048640799,0.36959913571644626
224,ANO5,BCOR,39.13274090982725,5.543987035746694
57,ACAT2,HNRNPA2B1,39.13563992423475,5.91358617146314
2352,ELAC2,RNMTL1,39.15131481668115,0.7391982714328925
588,AURKA,FAM83D,39.157620570253634,5.543987035746694
287,ANXA7,VMA21,39.15839336562355,0.36959913571644626
361,ARHGAP11A,AURKA,39.15965987706596,0.36959913571644626
1270,CCNG1,GTF2I,39.164400103657314,0.36959913571644626
624,AZIN1,VCL,39.16479342568941,0.36959913571644626
1655,CMC2,RAD51AP1,39.17208682254015,0.36959913571644626
3148,HSPA5,PDIA6,39.18000260384638,0.36959913571644626
3045,HNRNPA2B1,PTMA,39.183404303836895,0.36959913571644626
3616,MAP1B,PPP1CB,39.183810673996376,0.36959913571644626
3128,HSP90B1,HSPA5,39.18496229285249,0.36959913571644626
2357,ELP3,SUN1,39.187195529912564,5.543987035746694
4843,SLC4A7,TMEM212,39.18884487987533,0.36959913571644626
3671,MCL1,ZNF551,39.194322104086645,5.543987035746694
288,ANXA7,ZNF518A,39.19638312158329,5.91358617146314
2523,FAM91A1,ZNF124,39.1988294337822,5.543987035746694
2119,DPYSL2,MARCKS,39.2010390193144,5.91358617146314
4897,SPTY2D1,TM9SF2,39.20253534160577,5.543987035746694
2158,DYNC1H1,RPN2,39.206186262431906,5.91358617146314
404,ARL17A,ORC4,39.21502970003099,0.36959913571644626
4690,SAMD8,SAMHD1,39.22491156228292,5.543987035746694
3062,HNRNPA2B1,TUBB,39.22599079843589,0.36959913571644626
4942,TAF7,TNIK,39.23013419260371,5.543987035746694
1929,DCUN1D4,TLK1,39.23696221358989,0.36959913571644626
511,ATF2,CASC5,39.2411133447779,5.543987035746694
1680,COL1A2,FASTKD1,39.24620133325041,1.1087974071493387
3749,MGST1,PPT1,39.25085403687301,0.36959913571644626
4193,PDIA4,ZNF621,39.25307599687937,0.36959913571644626
1526,CERS6,HDAC8,39.25611397479797,5.543987035746694
163,ALDH1B1,SIX4,39.25902879513999,0.7391982714328925
1834,CTTN,SET,39.27310757622155,0.36959913571644626
3743,MFN1,RIMKLB,39.28040301834884,5.543987035746694
4266,PJA2,WDR11,39.28101063933932,5.543987035746694
3934,MYO6,PEX3,39.2839484867403,5.543987035746694
270,ANP32E,TMTC3,39.295026312866426,0.36959913571644626
4758,SFRP1,TECR,39.302918345309706,0.36959913571644626
3211,IKBKAP,RAB22A,39.30385395289646,5.543987035746694
246,ANP32E,L1TD1,39.30836771595136,0.36959913571644626
1436,CDK5RAP3,KIF20A,39.30937727680201,5.543987035746694
2652,FUBP1,SCD,39.32363476111355,0.36959913571644626
4411,PSMB2,TPM3,39.33807224326514,0.36959913571644626
4876,SOX4,TBL1XR1,39.34021320396224,0.36959913571644626
294,AP3M1,MED14,39.34151668623525,5.174387900030248
487,ASTN2,JMJD1C,39.34520604256107,0.36959913571644626
1506,CENPO,TCF7L1,39.35251569883011,5.543987035746694
2944,HIGD2A,SF3B1,39.36102484334003,0.36959913571644626
3734,MFAP2,PPIB,39.36193348805883,0.36959913571644626
104,ADCY2,CREBZF,39.364305187577514,0.7391982714328925
2229,EEF1A1,VDAC2,39.36519421441893,0.36959913571644626
2779,GLG1,TMEM33,39.36524452204135,0.36959913571644626
1659,CMTM6,FLVCR1,39.36683077770768,0.36959913571644626
4832,SLC39A10,TMTC3,39.366924457280604,0.36959913571644626
1412,CDK1,NUSAP1,39.368144107800084,0.36959913571644626
238,ANP32E,EIF1AX,39.37268334497551,0.36959913571644626
3526,LIPA,TIMELESS,39.37284663345587,5.543987035746694
1936,DDX11,FRAS1,39.37673007792251,5.91358617146314
405,ARL17A,TMEM212,39.388040145833926,5.91358617146314
4567,RLIM,SGCB,39.38814006960949,0.7391982714328925
3166,HUWE1,KLHL24,39.38822667760379,1.1087974071493387
2246,EIF1AX,GNL3,39.39714229195967,5.91358617146314
2604,FNBP4,UBA6,39.40102078216711,5.91358617146314
91,ACVR2B,INADL,39.409678295769595,0.36959913571644626
229,ANP32E,ARF6,39.411922152462445,0.36959913571644626
1599,CKAP2,KPNA2,39.41772862717597,0.36959913571644626
1090,CANX,PDIA6,39.425571697148314,0.36959913571644626
2422,EPHA1,SLC7A1,39.426367435078774,5.543987035746694
4232,PHC1,PRDX6,39.426581235881045,0.36959913571644626
1021,CALB1,FLNB,39.42764780390614,5.543987035746694
3382,KNTC1,TASP1,39.44734809895162,5.543987035746694
1610,CKAP2L,ZNF165,39.44745729393082,5.543987035746694
4918,STAU2,VPS8,39.44890709284487,5.543987035746694
3981,NDUFA13,RPS25,39.45410465271534,5.91358617146314
3120,HSP90AB1,PHC1,39.454290473470685,0.36959913571644626
3351,KIF20A,UBE2C,39.455628286000774,5.543987035746694
2993,HMGCS1,L1TD1,39.459736978762876,5.91358617146314
3748,MGST1,PFN2,39.4627379984452,5.91358617146314
2551,FDFT1,HNRNPA2B1,39.46337443558295,0.36959913571644626
392,ARID2,INO80D,39.46856782007083,5.91358617146314
4247,PHLDA1,RNF213,39.46972035538868,0.7391982714328925
3310,KIAA0494,PIAS1,39.46986082680653,5.543987035746694
3744,MFSD8,RBM6,39.47563556097715,0.7391982714328925
3970,NDC80,NTS,39.476749255509866,0.7391982714328925
2078,DNAJC13,PTPRK,39.47682202797101,5.543987035746694
2882,H3F3A,MKI67IP,39.476849491338555,0.36959913571644626
4577,RNF168,TMEM33,39.48473854158547,0.36959913571644626
4236,PHC1,RPS25,39.48729904432886,0.36959913571644626
3329,KIAA1967,NCBP1,39.48756759977692,0.7391982714328925
977,C2orf68,RFFL,39.49544582521656,5.543987035746694
2871,GTF3C2,PA2G4,39.49566214080286,5.91358617146314
4974,TIMM21,YME1L1,39.49800135836515,5.91358617146314
2915,HDGFRP3,RAB21,39.50155979000711,5.91358617146314
3685,MCMBP,PPFIA1,39.504807259227874,5.543987035746694
3848,MSMO1,SCD,39.512054205150626,0.36959913571644626
3522,LIN28B,MRPS10,39.512631334800595,0.36959913571644626
3582,LSM7,STRA13,39.518280145752094,0.36959913571644626
3014,HMMR,SGOL2,39.52492334795797,0.36959913571644626
909,C10orf26,TRIP12,39.52922066509282,5.543987035746694
1194,CCDC88A,PDS5A,39.55323845574436,0.36959913571644626
4882,SPAG9,STC1,39.55544609922256,0.7391982714328925
1972,DENND4C,ING3,39.561352993543174,5.543987035746694
485,ASTN2,EEF1A1,39.5651554662616,2.587193950015124
1317,CD24,GNL3,39.56605232161178,0.36959913571644626
3987,NEDD1,RAB22A,39.56964264616067,5.543987035746694
4074,ODF2L,PNN,39.58692223469406,0.36959913571644626
4153,PARP8,ZCCHC17,39.58997197228962,5.543987035746694
4559,RFX7,SORL1,39.60598522710563,0.7391982714328925
1207,CCNB1,CDC20,39.61536372791981,0.36959913571644626
4319,POLR3G,PPP1CB,39.61546053150014,0.36959913571644626
2578,FH,ORMDL2,39.61828414051832,5.91358617146314
1826,CTTN,EZR,39.61859064264543,0.36959913571644626
5053,ZNF426,ZNF460,39.622247605941766,5.543987035746694
3084,HNRNPH1,RRP15,39.62342848664335,0.36959913571644626
712,BCLAF1,HNRNPA2B1,39.63123892686822,0.36959913571644626
1930,DCUN1D4,TMEM33,39.632198116288286,0.36959913571644626
3635,MARCKS,POLR3G,39.633894274788304,0.36959913571644626
2603,FN1,QRSL1,39.63560537150238,5.543987035746694
3506,LDB2,NUP133,39.63571504687047,0.7391982714328925
4214,PFN1,VCP,39.63614189216783,0.36959913571644626
754,BORA,C10orf28,39.63882798064043,5.543987035746694
593,AURKA,KIF20A,39.647667146462545,5.543987035746694
1643,CLSPN,ITGB5,39.65676893840923,0.36959913571644626
3105,HNRPDL,SRSF3,39.66520615572388,0.36959913571644626
4679,RRP9,ZNF621,39.66584421346461,5.543987035746694
4447,PTMA,STMN1,39.67454367339402,0.36959913571644626
2251,EIF1AX,SMC2,39.67490909486451,0.36959913571644626
387,ARID1B,RNF10,39.68200600880655,5.543987035746694
1579,CHD9,ZMYM1,39.68616446999766,5.543987035746694
3461,LARP7,MTHFD2,39.68890915781164,0.36959913571644626
3799,MON2,SERINC1,39.69030974980736,5.543987035746694
3032,HNRNPA0,YIPF5,39.693840518260146,0.36959913571644626
174,ALG10B,TSPAN14,39.696052324726416,5.543987035746694
663,BCAT1,C16orf72,39.70259640218695,5.543987035746694
2850,GTF2A2,RPS23,39.70695755423252,5.91358617146314
2584,FKBP2,LSM7,39.71129251802293,5.91358617146314
3080,HNRNPH1,PTPRS,39.720530519395496,0.36959913571644626
596,AURKA,MKI67,39.7283027466777,0.36959913571644626
2576,FGFR2,POLR3C,39.73255527596562,5.543987035746694
4139,PANK3,WDR41,39.73861863198121,0.7391982714328925
840,BUB1,SGOL2,39.740707197895475,0.36959913571644626
4631,RPL7,ST13,39.74138396764869,0.36959913571644626
2241,EGR1,PCDH18,39.742616637106465,5.543987035746694
2161,DYRK2,TASP1,39.7455089964646,0.7391982714328925
4987,TMCC1,USP53,39.752909764017446,5.543987035746694
128,AGL,ITGAV,39.753597540428515,5.543987035746694
52,ACADSB,SMC2,39.75517637747507,0.36959913571644626
2609,FRAS1,KNTC1,39.756616285709654,0.36959913571644626
3692,MDN1,ODF2L,39.75693396011376,5.91358617146314
1265,CCNE2,TFRC,39.770101160918244,5.543987035746694
1305,CCNT2,OSBPL8,39.77440618455443,0.7391982714328925
4321,PPFIA1,UACA,39.77568124211389,5.543987035746694
4191,PDIA4,TMEM209,39.77765108872236,0.36959913571644626
4371,PRDX6,RPS23,39.779988678586186,0.36959913571644626
3292,KDELR2,ZMYM6NB,39.781522126094764,0.7391982714328925
1614,CKAP4,USP28,39.78202853827451,0.36959913571644626
784,BRWD1,HSP90B1,39.78329386034704,0.36959913571644626
3142,HSPA13,NR2C1,39.78422674409388,5.543987035746694
5016,TOPBP1,WDR3,39.78468489403506,5.543987035746694
3687,MCMBP,WNK3,39.793051263305955,5.543987035746694
1889,DCAKD,FAM206A,39.79436307309713,5.543987035746694
4900,SRP9,STMN1,39.796604923303505,0.36959913571644626
3906,MTRNR2L6,POLR3G,39.80215572421303,0.36959913571644626
4414,PSMD1,PTMA,39.806722569290336,0.36959913571644626
3209,IKBKAP,NEK2,39.81138827923266,5.543987035746694
1797,CTDSP2,PPP1R2,39.813094881184355,5.543987035746694
3531,LITAF,PMAIP1,39.81803097020352,5.91358617146314
4617,RPL41,ST13,39.82427782725373,0.36959913571644626
4330,PPP1CB,RAP2C,39.82622534459673,0.36959913571644626
3369,KIF2A,RNMT,39.826679470346384,0.36959913571644626
2889,H3F3A,PPIB,39.82842830307906,0.36959913571644626
2190,EEF1A1,HSP90AB1,39.830827374407555,0.36959913571644626
4205,PEX2,SEP15,39.8334148832475,5.91358617146314
4509,RANBP6,TM9SF2,39.8355906364179,5.543987035746694
3969,NCSTN,ZNF589,39.83836591966609,5.543987035746694
2685,G2E3,PWP2,39.841770489281856,5.543987035746694
2289,EIF3L,HMGB3,39.842446428594506,0.36959913571644626
2617,FTH1,P4HB,39.84955495254957,0.36959913571644626
1539,CFLAR,PTPRS,39.86527386184807,0.36959913571644626
3296,KDM1A,YOD1,39.8673209642633,1.1087974071493387
2058,DLGAP5,NCAPD2,39.86857695891578,5.543987035746694
4437,PTBP3,SLC16A1,39.88971773457307,0.36959913571644626
691,BCAT1,SCD,39.89361691470395,5.91358617146314
2829,GPR125,RMND5A,39.893704680103205,5.543987035746694
516,ATG13,HSPA13,39.89375404602743,5.543987035746694
2363,ENAH,MARCKS,39.896873531556416,0.36959913571644626
4755,SF3B1,USP9X,39.93012128504352,5.91358617146314
2690,G2E3,TOP2A,39.9310723977433,0.36959913571644626
3135,HSP90B1,SENP6,39.93142715070622,0.36959913571644626
3695,MED14,METTL9,39.93496448312647,5.174387900030248
2269,EIF2S1,GTF2A2,39.937486284898974,0.36959913571644626
4985,TM9SF3,ZNF518A,39.94005744151198,0.36959913571644626
3482,LARP7,VMA21,39.941287256803264,0.36959913571644626
3777,MKI67,UBE2C,39.94815120204784,0.36959913571644626
2797,GNL3,LARP7,39.9511797957477,0.36959913571644626
524,ATP11A,KDM6A,39.953027650033526,5.543987035746694
2034,DIDO1,KLHL3,39.95323049809695,5.543987035746694
2888,H3F3A,PHC1,39.95504777074294,0.36959913571644626
3985,NDUFA13,UBC,39.962692196194496,0.36959913571644626
4446,PTMA,ST13,39.966651002865056,0.36959913571644626
3254,ITFG2,TTF1,39.97660631353991,0.7391982714328925
4684,SACS,TAB2,39.97862239134744,5.543987035746694
2596,FLVCR1,RAD17,39.980209725741645,5.543987035746694
3372,KIF2C,UBTF,39.98583144178029,0.36959913571644626
1339,CDC20,TAF7,40.002710697056344,0.36959913571644626
625,AZIN1,ZIC2,40.00508495474037,5.91358617146314
1258,CCND2,HNRNPA2B1,40.019007775725115,0.36959913571644626
4416,PSMD11,TCF7L1,40.020016830140584,0.36959913571644626
2069,DLGAP5,ZIC2,40.021423927640825,0.36959913571644626
795,BTAF1,PTPRZ1,40.02167307414784,5.543987035746694
3766,MIS12,PIR,40.02732870187426,0.7391982714328925
1770,CREBZF,FH,40.03723374321608,5.91358617146314
4182,PDIA3,PHB2,40.040552152008495,5.91358617146314
2037,DIDO1,SIPA1L1,40.04080698967556,5.543987035746694
4800,SKIL,TLK1,40.04109973011819,0.36959913571644626
2650,FUBP1,PPP1CB,40.04332121283006,0.36959913571644626
4656,RPS23,TAF7,40.047007930175816,0.36959913571644626
3239,INTS8,RABGEF1,40.050593756714264,0.7391982714328925
2586,FKBP2,RBM6,40.06015825386448,0.36959913571644626
2180,EED,FAM210A,40.06172073909508,0.7391982714328925
5029,TRIM35,TTF2,40.061751831390445,0.7391982714328925
468,ASPM,HMMR,40.06337134579712,0.36959913571644626
3202,IGDCC4,MAP9,40.06370557994001,5.543987035746694
3544,LPP,TMEM212,40.06451687759955,5.91358617146314
3293,KDM1A,MRPL32,40.06756351450708,5.91358617146314
970,C20orf111,RPRD1A,40.07254341326172,5.543987035746694
3077,HNRNPH1,PPP3CA,40.07837615104286,0.36959913571644626
4731,SEP15,TMEM209,40.085034931701045,5.91358617146314
4229,PHB2,RBM6,40.08779380611983,0.36959913571644626
1496,CENPK,HOMER1,40.090781598757275,0.7391982714328925
344,ARF6,MARCKS,40.09660448305093,0.36959913571644626
507,ATAD2,RAD54L,40.099831354525435,5.543987035746694
2253,EIF1AX,TRA2B,40.10126437437514,0.36959913571644626
1875,DAAM1,RRAGD,40.10541172711908,5.543987035746694
2409,EPB41L2,GAPVD1,40.10554019867642,0.7391982714328925
2684,G2E3,PLK1,40.10749496769803,0.36959913571644626
1895,DCP2,HNRNPA2B1,40.112657236679716,0.36959913571644626
3483,LARP7,WAC,40.11560120477556,0.36959913571644626
49,ACADSB,KIF15,40.119915856413655,0.7391982714328925
2673,FXYD5,SEMA3A,40.12636447285197,0.36959913571644626
2738,GAPVD1,UTP20,40.12664409991279,5.543987035746694
2890,H3F3A,PRDX6,40.12897327025013,0.36959913571644626
4294,PMAIP1,STC1,40.12989069496386,5.543987035746694
1077,CAND1,FAM193A,40.13236401524044,5.543987035746694
2901,H3F3A,SKP1,40.135769906907235,0.36959913571644626
2528,FANCD2,ZNF7,40.13728392510892,0.7391982714328925
2946,HIPK1,MTMR6,40.14372989401266,5.543987035746694
3350,KIF20A,TOP2A,40.14778744692109,0.7391982714328925
403,ARL17A,ODF2L,40.1534135999546,5.91358617146314
4322,PPIB,SSR2,40.155036742935096,0.36959913571644626
1917,DCUN1D4,MARCKS,40.15845680501027,0.36959913571644626
4615,RPL41,SKP1,40.16805874616095,0.36959913571644626
408,ARL6IP1,CCNB1,40.16951362108871,5.91358617146314
1604,CKAP2,TOP2A,40.173279210557574,0.36959913571644626
1997,DERA,RALGAPA1,40.177580344127854,5.543987035746694
4591,RPAP1,SALL1,40.17896295488424,5.543987035746694
2934,HERPUD1,NECAB1,40.18344836161278,5.543987035746694
1988,DEPDC1,UBE2C,40.19576669998848,5.543987035746694
3586,LUC7L,TCF7L1,40.197957611555395,5.91358617146314
906,BZW1,STMN1,40.20162473225176,0.36959913571644626
80,ACTG1,GAPDH,40.20653547249716,0.36959913571644626
4445,PTMA,SRP9,40.2193522176418,0.36959913571644626
2885,H3F3A,NDUFA13,40.22133707044495,0.36959913571644626
3659,MARS,RPN2,40.22570399412403,0.36959913571644626
4122,PA2G4,PTBP1,40.23363619400116,5.91358617146314
554,ATRX,HNRNPH1,40.23441802490864,0.36959913571644626
2151,DTL,POLQ,40.242569998845816,0.7391982714328925
4400,PSAT1,UBE2V2,40.24851358879281,0.36959913571644626
2917,HEATR1,ITGA6,40.25662498278649,0.36959913571644626
2050,DLGAP5,G2E3,40.261345659678824,0.36959913571644626
2272,EIF2S1,MGST3,40.26379570253284,0.36959913571644626
3250,IQGAP2,SLC29A1,40.27266731806371,5.543987035746694
936,C14orf129,CUL2,40.273912729742406,5.543987035746694
1499,CENPK,REEP5,40.2787721708101,0.36959913571644626
2164,DZIP3,RAD51AP1,40.28145442518849,0.36959913571644626
4098,ORC4,ZMYM6NB,40.28267914332933,5.91358617146314
1466,CENPE,TRIM59,40.29780284316091,0.36959913571644626
3479,LARP7,TRDN,40.30502079068045,0.36959913571644626
719,BCLAF1,PTMA,40.305464215542145,0.36959913571644626
4027,NRAS,SLC39A10,40.30659230080455,0.36959913571644626
4395,PSAT1,SHMT2,40.30786731093918,0.36959913571644626
590,AURKA,HJURP,40.31943915503425,0.36959913571644626
3907,MTRNR2L6,PTPRS,40.324158446810586,0.36959913571644626
4117,P4HB,PLD3,40.32470492573561,0.36959913571644626
2531,FANCL,SON,40.327484034946885,0.36959913571644626
1810,CTSC,MTRNR2L6,40.328361261712516,0.36959913571644626
1066,CALU,MGST1,40.32944964791999,0.36959913571644626
1586,CHML,TMEM212,40.33312125979144,5.91358617146314
185,AMOTL1,USP9X,40.35043719203504,5.174387900030248
4201,PDXK,TTF2,40.353990886038815,0.7391982714328925
4747,SET,TKT,40.35605133363879,0.36959913571644626
3129,HSP90B1,METTL17,40.35664874880304,0.36959913571644626
3297,KDM3B,NR2C1,40.35925362321058,5.543987035746694
3224,INO80D,TLK1,40.359605686378934,5.91358617146314
4830,SLC39A10,SREK1IP1,40.36107164976479,5.91358617146314
3889,MTO1,PRDM2,40.362838383459184,5.543987035746694
3304,KIAA0146,PHF14,40.367547273259525,5.543987035746694
1503,CENPO,ITGB5,40.37225459082891,5.543987035746694
4258,PIGK,RPN2,40.379495732830875,5.543987035746694
2438,ERAL1,SEC24C,40.391618504588315,5.543987035746694
1490,CENPF,TRIM59,40.39256946583345,0.36959913571644626
133,AGL,SLC39A10,40.393952656216534,5.543987035746694
1584,CHML,RBM25,40.39478842489683,5.91358617146314
2067,DLGAP5,TPX2,40.39517657396147,0.36959913571644626
3423,L1TD1,MKI67IP,40.40290748005597,0.36959913571644626
304,AP3S1,VMP1,40.404755014549096,0.36959913571644626
4130,PALB2,SDF2,40.41003815717572,0.7391982714328925
4991,TMEM209,TMEM33,40.414200277610924,0.36959913571644626
978,C2orf68,TDP1,40.42030094729351,0.7391982714328925
4349,PPP1R15B,TMEM212,40.420688017623924,5.91358617146314
837,BUB1,PLK1,40.4333726920277,0.36959913571644626
729,BIRC6,HSP90B1,40.43879872003908,0.36959913571644626
3416,KRTCAP2,PTMA,40.450280520493365,0.36959913571644626
4957,TCF7L1,USP47,40.45897902259785,0.36959913571644626
4402,PSIP1,SRSF1,40.46731487767653,0.36959913571644626
2038,DIDO1,TSTD1,40.47190763522113,0.36959913571644626
4919,STIL,STYX,40.47353567418878,5.543987035746694
1271,CCNG1,LARP7,40.47404579214905,0.36959913571644626
3377,KLHL28,KLHL9,40.47520493149678,0.7391982714328925
4077,ODF2L,SLC4A7,40.47827359784932,0.36959913571644626
1102,CAPZA1,ENAH,40.47943962935339,0.36959913571644626
302,AP3S1,PTBP2,40.48323706840761,0.36959913571644626
1327,CD46,PLAGL2,40.48636230238016,5.543987035746694
3325,KIAA1429,TRIP12,40.48747525399573,5.543987035746694
98,ACVR2B,WWP1,40.49198983747816,0.7391982714328925
3427,L1TD1,PTMA,40.496022769209574,0.36959913571644626
